District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Bela,2024-04-02,0.0,4.1
Adilabad,Bela,2024-04-03,0.0,4.9
Adilabad,Bela,2024-04-04,0.0,9.9
Adilabad,Bela,2024-04-05,0.0,9.3
Adilabad,Bela,2024-04-06,0.0,6.9
Adilabad,Bela,2024-04-07,0.0,21.3
Adilabad,Bela,2024-04-08,2.1,8.3
Adilabad,Bela,2024-04-09,0.0,14.1
Adilabad,Bela,2024-04-10,1.8,7.3
Adilabad,Bela,2024-04-11,1.7,8.2
Adilabad,Bela,2024-04-12,0.0,11.4
Adilabad,Bela,2024-04-13,0.0,13.4
Adilabad,Bela,2024-04-14,0.0,10.8
Adilabad,Bela,2024-04-15,0.0,7.8
Adilabad,Bela,2024-04-16,0.0,8.4
Adilabad,Bela,2024-04-17,0.0,5.5
Adilabad,Bela,2024-04-18,0.0,10.8
Adilabad,Bela,2024-04-19,0.0,10.6
Adilabad,Bela,2024-04-20,0.0,14.2
Adilabad,Bela,2024-04-21,0.0,14.2
Adilabad,Bela,2024-04-22,0.0,8.6
Adilabad,Bela,2024-04-23,0.0,9.4
Adilabad,Bela,2024-04-24,0.0,11.1
Adilabad,Bela,2024-04-25,0.0,6.1
Adilabad,Bela,2024-04-26,0.0,6.6
Adilabad,Bela,2024-04-27,0.0,10.5
Adilabad,Bela,2024-04-28,0.0,10.5
Adilabad,Bela,2024-04-29,0.0,10.5
Adilabad,Bela,2024-04-30,0.0,9.3
Adilabad,Bheempoor,2024-04-01,0.0,4.1
Adilabad,Bheempoor,2024-04-02,1.5,2.4
Adilabad,Bheempoor,2024-04-03,0.0,6.8
Adilabad,Bheempoor,2024-04-04,0.0,6.1
Adilabad,Bheempoor,2024-04-05,0.0,8.3
Adilabad,Bheempoor,2024-04-06,0.0,10.4
Adilabad,Bheempoor,2024-04-07,0.0,7.9
Adilabad,Bheempoor,2024-04-08,0.0,15.7
Adilabad,Bheempoor,2024-04-09,0.0,10.4
