District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph),Min Wind Speed (Kmph)_outlier_flag,Max Wind Speed (Kmph)_outlier_flag
Jagtial,Pegadapalle,2024-04-05,0.0,3.0,False,False
Jagtial,Pegadapalle,2024-04-06,0.0,2.1,False,False
Jagtial,Pegadapalle,2024-04-07,0.0,0.7,False,False
Jagtial,Pegadapalle,2024-04-08,0.0,2.9,False,False
Jagtial,Pegadapalle,2024-04-09,0.5,5.2,True,False
Jagtial,Pegadapalle,2024-04-10,0.0,5.5,False,False
Jagtial,Pegadapalle,2024-04-11,0.0,2.6,False,False
Jagtial,Pegadapalle,2024-04-12,0.0,4.5,False,False
Jagtial,Pegadapalle,2024-04-13,0.0,6.2,False,False
Jagtial,Pegadapalle,2024-04-14,0.0,2.0,False,False
Jagtial,Pegadapalle,2024-04-15,0.0,4.0,False,False
Jagtial,Pegadapalle,2024-04-16,0.0,1.9,False,False
Jagtial,Pegadapalle,2024-04-17,0.0,2.3,False,False
Jagtial,Pegadapalle,2024-04-18,0.0,3.9,False,False
Jagtial,Pegadapalle,2024-04-19,0.0,3.0,False,False
Jagtial,Pegadapalle,2024-04-20,0.0,3.5,False,False
Jagtial,Pegadapalle,2024-04-21,0.0,3.5,False,False
Jagtial,Pegadapalle,2024-04-22,0.0,2.7,False,False
Jagtial,Pegadapalle,2024-04-23,0.0,7.0,False,False
Jagtial,Pegadapalle,2024-04-24,0.0,4.5,False,False
Jagtial,Pegadapalle,2024-04-25,0.0,3.4,False,False
Jagtial,Pegadapalle,2024-04-26,0.0,2.2,False,False
Jagtial,Pegadapalle,2024-04-27,0.0,3.9,False,False
Jagtial,Pegadapalle,2024-04-28,0.0,4.8,False,False
Jagtial,Pegadapalle,2024-04-29,0.0,4.3,False,False
Jagtial,Pegadapalle,2024-04-30,0.0,3.1,False,False
Jagtial,Raikal,2024-04-01,0.0,4.6,False,False
Jagtial,Raikal,2024-04-02,0.0,0.0,False,False
Jagtial,Raikal,2024-04-03,0.0,3.3,False,False
Jagtial,Raikal,2024-04-04,0.0,4.7,False,False
Jagtial,Raikal,2024-04-05,0.0,2.9,False,False
Jagtial,Raikal,2024-04-06,0.0,0.0,False,False
Jagtial,Raikal,2024-04-07,0.0,0.3,False,False
Jagtial,Raikal,2024-04-08,0.0,6.9,False,False
Jagtial,Raikal,2024-04-09,0.0,6.3,False,False
Jagtial,Raikal,2024-04-10,0.0,7.0,False,False
Jagtial,Raikal,2024-04-11,0.0,7.1,False,False
Jagtial,Raikal,2024-04-12,0.0,14.1,False,False
Jagtial,Raikal,2024-04-13,0.0,7.0,False,False
Jagtial,Raikal,2024-04-14,0.0,8.4,False,False
Jagtial,Raikal,2024-04-15,0.0,4.4,False,False
Jagtial,Raikal,2024-04-16,0.0,4.0,False,False
Jagtial,Raikal,2024-04-17,0.0,3.7,False,False
Jagtial,Raikal,2024-04-18,0.0,3.8,False,False
Jagtial,Raikal,2024-04-19,0.0,6.8,False,False
Jagtial,Raikal,2024-04-20,0.0,6.1,False,False
Jagtial,Raikal,2024-04-21,0.0,2.2,False,False
Jagtial,Raikal,2024-04-22,0.0,4.5,False,False
Jagtial,Raikal,2024-04-23,0.0,5.3,False,False
Jagtial,Raikal,2024-04-24,0.0,9.9,False,False
Jagtial,Raikal,2024-04-25,0.0,1.1,False,False
Jagtial,Raikal,2024-04-26,0.0,1.4,False,False
Jagtial,Raikal,2024-04-27,0.0,4.9,False,False
Jagtial,Raikal,2024-04-28,0.0,4.5,False,False
Jagtial,Raikal,2024-04-29,0.0,4.6,False,False
Jagtial,Raikal,2024-04-30,0.0,3.4,False,False
Jagtial,Sarangapur,2024-04-01,0.0,2.4,False,False
Jagtial,Sarangapur,2024-04-02,0.0,6.6,False,False
Jagtial,Sarangapur,2024-04-03,0.0,1.9,False,False
Jagtial,Sarangapur,2024-04-04,0.0,4.0,False,False
Jagtial,Sarangapur,2024-04-05,0.0,3.8,False,False
Jagtial,Sarangapur,2024-04-06,0.0,4.9,False,False
Jagtial,Sarangapur,2024-04-07,0.0,5.2,False,False
Jagtial,Sarangapur,2024-04-08,0.0,7.8,False,False
Jagtial,Sarangapur,2024-04-09,0.0,9.6,False,False
Jagtial,Sarangapur,2024-04-10,0.0,10.8,False,False
Jagtial,Sarangapur,2024-04-11,0.0,7.2,False,False
Jagtial,Sarangapur,2024-04-12,0.0,4.5,False,False
